"","Car","MPG","Cylinders","Displacement","Horsepower","Weight","Acceleration","Model","Origin"
"249","Volkswagen Dasher",30.5,"4",97,78,2190,14.1,"77","Europe"
"250","Datsun 810",22,"6",146,97,2815,14.5,"77","Japan"
"251","BMW 320i",21.5,"4",121,110,2600,12.8,"77","Europe"
"252","Mazda RX-4",21.5,"3",80,110,2720,13.5,"77","Japan"
"254","Ford Fiesta",36.1,"4",98,66,1800,14.4,"78","US"
"259","Dodge Diplomat",19.4,"8",318,140,3735,13.2,"78","US"
"260","Mercury Monarch ghia",20.2,"8",302,139,3570,12.8,"78","US"
"271","Chevrolet Monte Carlo Landau",19.2,"8",305,145,3425,13.2,"78","US"
"272","Buick Regal Sport Coupe (turbo)",17.7,"6",231,165,3445,13.4,"78","US"
"273","Ford Futura",18.1,"8",302,139,3205,11.2,"78","US"
"274","Dodge Magnum XE",17.5,"8",318,140,4080,13.7,"78","US"
"276","Toyota Corolla",27.5,"4",134,95,2560,14.2,"78","Japan"
"277","Datsun 510",27.2,"4",119,97,2300,14.7,"78","Japan"
"278","Dodge Omni",30.9,"4",105,75,2230,14.5,"78","US"
"279","Toyota Celica GT Liftback",21.1,"4",134,95,2515,14.8,"78","Japan"
"282","Datsun 200-SX",23.9,"4",119,97,2405,14.9,"78","Japan"
"284","Volvo 264gl",17,"6",163,125,3140,13.6,"78","Europe"
"287","Volkswagen Scirocco",31.5,"4",89,71,1990,14.9,"78","Europe"
"295","Ford LTD Landau",17.6,"8",302,129,3725,13.4,"79","US"
"296","Mercury Grand Marquis",16.5,"8",351,138,3955,13.2,"79","US"
"298","Buick Estate Wagon (sw)",16.9,"8",350,155,4360,14.9,"79","US"
"299","Ford Country Squire (sw)",15.5,"8",351,142,4054,14.3,"79","US"
"301","Chrysler Lebaron Town @ Country (sw)",18.5,"8",360,150,3940,13,"79","US"
"302","Volkswagen Rabbit Custom",31.9,"4",89,71,1925,14,"79","Europe"
"304","Dodge Colt Hatchback Custom",35.7,"4",98,80,1915,14.4,"79","US"
"310","Plymouth Horizon",34.2,"4",105,70,2200,13.2,"79","US"
"311","Plymouth Horizon TC3",34.5,"4",105,70,2150,14.9,"79","US"
"313","Fiat Strada Custom",37.3,"4",91,69,2130,14.7,"79","Europe"
"315","Chevrolet Citation",28.8,"6",173,115,2595,11.3,"79","US"
"316","Oldsmobile Omega Brougham",26.8,"6",173,115,2700,12.9,"79","US"
"317","Pontiac Phoenix",33.5,"4",151,90,2556,13.2,"79","US"
"318","Volkswagen Rabbit",41.5,"4",98,76,2144,14.7,"80","Europe"
"332","Dodge Colt",27.9,"4",156,105,2800,14.4,"80","US"
"338","Honda Civic 1500 gl",44.6,"4",91,67,1850,13.8,"80","Japan"
"342","Datsun 280-ZX",32.7,"6",168,132,2910,11.4,"80","Japan"
"343","Mazda RX-7 GS",23.7,"3",70,100,2420,12.5,"80","Japan"
"345","Ford Mustang Cobra",23.6,"4",140,0,2905,14.3,"80","US"
"349","Dodge Aries Wagon (sw)",25.8,"4",156,92,2620,14.4,"81","US"
"350","Chevrolet Citation",23.5,"6",173,110,2725,12.6,"81","US"
"351","Plymouth Reliant",30,"4",135,84,2385,12.9,"81","US"
"359","Plymouth Horizon 4",34.7,"4",105,63,2215,14.9,"81","US"
"362","Volkswagen Jetta",33,"4",105,74,2190,14.2,"81","Europe"
"364","Honda Prelude",33.7,"4",107,75,2210,14.4,"81","Japan"
"366","Datsun 200SX",32.9,"4",119,100,2615,14.8,"81","Japan"
"371","Toyota Cressida",25.4,"6",168,116,2900,12.6,"81","Japan"
"372","Datsun 810 Maxima",24.2,"6",146,120,2930,13.8,"81","Japan"
"388","Plymouth Horizon Miser",38,"4",105,63,2125,14.7,"82","US"
"390","Nissan Stanza XE",36,"4",120,88,2160,14.5,"82","Japan"
"391","Honda Accord",36,"4",107,75,2205,14.5,"82","Japan"
"398","Chrysler Lebaron Medallion",26,"4",156,92,2585,14.5,"82","US"
"399","Ford Grenada l",22,"6",232,112,2835,14.7,"82","US"
"400","Toyota Celica GT",32,"4",144,96,2665,13.9,"82","Japan"
"401","Dodge Charger 2.2",36,"4",135,84,2370,13,"82","US"
"405","Dodge Rampage",32,"4",135,84,2295,11.6,"82","US"
