"","Car","MPG","Cylinders","Displacement","Horsepower","Weight","Acceleration","Model","Origin"
"258","Oldsmobile Cutlass Salon Brougham",19.9,"8",260,110,3365,15.5,"78","US"
"259","Dodge Diplomat",19.4,"8",318,140,3735,13.2,"78","US"
"260","Mercury Monarch ghia",20.2,"8",302,139,3570,12.8,"78","US"
"261","Pontiac Phoenix LJ",19.2,"6",231,105,3535,19.2,"78","US"
"267","Buick Century Special",20.6,"6",231,105,3380,15.8,"78","US"
"269","Dodge Aspen",18.6,"6",225,110,3620,18.7,"78","US"
"270","AMC Concord d/l",18.1,"6",258,120,3410,15.1,"78","US"
"271","Chevrolet Monte Carlo Landau",19.2,"8",305,145,3425,13.2,"78","US"
"272","Buick Regal Sport Coupe (turbo)",17.7,"6",231,165,3445,13.4,"78","US"
"273","Ford Futura",18.1,"8",302,139,3205,11.2,"78","US"
"274","Dodge Magnum XE",17.5,"8",318,140,4080,13.7,"78","US"
"280","Plymouth Sapporo",23.2,"4",156,105,2745,16.7,"78","US"
"283","Audi 5000",20.3,"5",131,103,2830,15.9,"78","Europe"
"284","Volvo 264gl",17,"6",163,125,3140,13.6,"78","Europe"
"285","Saab 99gle",21.6,"4",121,115,2795,15.7,"78","Europe"
"286","Peugeot 604sl",16.2,"6",163,133,3410,15.8,"78","Europe"
"289","Pontiac Lemans V6",21.5,"6",231,115,3245,15.4,"79","US"
"293","Dodge Aspen 6",20.6,"6",225,110,3360,16.6,"79","US"
"294","Chevrolet Caprice Classic",17,"8",305,130,3840,15.4,"79","US"
"295","Ford LTD Landau",17.6,"8",302,129,3725,13.4,"79","US"
"296","Mercury Grand Marquis",16.5,"8",351,138,3955,13.2,"79","US"
"297","Dodge St. Regis",18.2,"8",318,135,3830,15.2,"79","US"
"298","Buick Estate Wagon (sw)",16.9,"8",350,155,4360,14.9,"79","US"
"299","Ford Country Squire (sw)",15.5,"8",351,142,4054,14.3,"79","US"
"300","Chevrolet Malibu Classic (sw)",19.2,"8",267,125,3605,15,"79","US"
"301","Chrysler Lebaron Town @ Country (sw)",18.5,"8",360,150,3940,13,"79","US"
"307","Cadillac Eldorado",23,"8",350,125,3900,17.4,"79","US"
"315","Chevrolet Citation",28.8,"6",173,115,2595,11.3,"79","US"
"316","Oldsmobile Omega Brougham",26.8,"6",173,115,2700,12.9,"79","US"
"332","Dodge Colt",27.9,"4",156,105,2800,14.4,"80","US"
"342","Datsun 280-ZX",32.7,"6",168,132,2910,11.4,"80","Japan"
"350","Chevrolet Citation",23.5,"6",173,110,2725,12.6,"81","US"
"369","Saab 900s",0,"4",121,110,2800,15.4,"81","Europe"
"371","Toyota Cressida",25.4,"6",168,116,2900,12.6,"81","Japan"
"372","Datsun 810 Maxima",24.2,"6",146,120,2930,13.8,"81","Japan"
"373","Buick Century",22.4,"6",231,110,3415,15.8,"81","US"
"374","Oldsmobile Cutlass LS",26.6,"8",350,105,3725,19,"81","US"
"396","Buick Century Limited",25,"6",181,110,2945,16.4,"82","US"
"399","Ford Grenada l",22,"6",232,112,2835,14.7,"82","US"
